,No Elitism
332,82.04700748
333,82.04700748
334,82.04700748
335,82.04700748
336,82.04700748
337,82.04700748
338,82.04700748
339,82.04700748
340,82.04700748
341,82.04700748
342,82.04700748
343,82.04700748
344,82.04700748
345,82.04700748
346,82.04700748
347,82.04700748
348,82.04700748
349,82.04700748
350,82.04700748
351,82.04700748
352,82.04700748
353,82.04700748
354,82.04700748
355,82.04700748
356,82.04700748
357,82.04700748
358,82.04700748
359,82.04700748
360,82.04700748
361,82.04700748
362,82.04700748
363,82.04700748
364,82.04700748
365,82.04700748
366,82.04700748
367,82.04700748
368,82.04700748
369,82.04700748
370,82.04700748
371,82.04700748
372,82.04700748
373,82.04700748
374,82.04700748
375,82.04700748
376,82.04700748
377,82.04700748
378,82.04700748
379,82.04700748
380,82.04700748
381,82.04700748
382,82.04700748
383,82.04700748
384,82.04700748
385,82.04700748
386,82.04700748
387,82.04700748
388,82.04700748
389,82.04700748
390,82.04700748
391,82.04700748
392,82.04700748
393,82.04700748
394,82.04700748
395,82.04700748
396,82.04700748
397,82.04700748
398,82.04700748
399,82.04700748
400,82.04700748
401,82.04700748
402,82.04700748
403,82.04700748
404,82.04700748
405,82.04700748
406,82.04700748
407,82.04700748
408,82.04700748
409,82.04700748
410,82.04700748
411,82.04700748
412,82.04700748
